npack,ne,GPU time (ms),GPU GFLOPS
2000,100,2.86533,6.98
4000,100,4.62912,8.64096
6000,100,6.29255,9.53508
8000,100,8.12871,9.84166
10000,100,10.0042,9.99579
12000,100,11.9977,10.0019
14000,100,13.4863,10.3809
16000,100,15.2347,10.5023
18000,100,16.8125,10.7063
20000,100,18.9315,10.5644
2000,200,3.42829,23.3352
4000,200,5.7034,28.0535
6000,200,7.90585,30.3573
8000,200,10.0833,31.7355
10000,200,12.28,32.5733
12000,200,14.4246,33.2765
14000,200,16.5833,33.7689
16000,200,18.7641,34.1078
18000,200,21.0823,34.1519
20000,200,23.2903,34.349
2000,300,4.59361,39.1849
4000,300,7.913,45.4947
6000,300,11.2032,48.2006
8000,300,14.2841,50.4058
10000,300,17.6427,51.0125
12000,300,20.7156,52.1347
14000,300,24.2218,52.0192
16000,300,27.4032,52.5486
18000,300,30.6642,52.8304
20000,300,34.3382,52.4198
2000,400,5.76452,55.512
4000,400,9.86975,64.8446
6000,400,14.1282,67.9492
8000,400,18.8783,67.8026
10000,400,22.8233,70.1039
12000,400,27.9587,68.6727
14000,400,32.6093,68.6921
16000,400,36.8954,69.3853
18000,400,41.6002,69.2305
20000,400,46.1599,69.3243
2000,500,8.46672,59.0548
4000,500,15.5826,64.1742
6000,500,22.7702,65.8756
8000,500,29.9161,66.8537
10000,500,37.0702,67.4395
12000,500,44.7267,67.074
14000,500,52.7525,66.3476
16000,500,60.6926,65.9059
18000,500,69.0364,65.183
20000,500,76.7774,65.1234
2000,600,9.38801,76.6935
4000,600,17.2098,83.6731
6000,600,24.8612,86.8825
8000,600,32.7805,87.857
10000,600,41.0979,87.5958
12000,600,50.0427,86.3263
14000,600,58.1872,86.617
16000,600,67.9999,84.706
18000,600,76.7276,84.4546
20000,600,85.8992,83.8192
2000,700,12.184,80.4332
4000,700,22.8192,85.8924
6000,700,33.6588,87.3471
8000,700,44.5742,87.9432
10000,700,56.3428,86.9677
12000,700,67.6973,86.8572
14000,700,80.8251,84.8746
16000,700,92.4515,84.8012
18000,700,104.099,84.7269
20000,700,117.302,83.545
2000,800,15.489,82.6394
4000,800,29.3038,87.3607
6000,800,43.6754,87.9213
8000,800,57.1368,89.6095
10000,800,72.4583,88.3266
12000,800,87.6448,87.6265
14000,800,104.068,86.0976
16000,800,119.136,85.9524
18000,800,134.903,85.3944
20000,800,149.942,85.3665
2000,900,18.8223,86.0683
4000,900,34.9076,92.8166
6000,900,52.3046,92.9173
8000,900,69.6089,93.0916
10000,900,87.9437,92.1044
12000,900,107.139,90.7231
14000,900,126.233,89.834
16000,900,144.245,89.8471
18000,900,161.629,90.2064
20000,900,180.632,89.6851
2000,1000,21.7562,91.928
4000,1000,41.0503,97.4415
6000,1000,61.0336,98.3065
8000,1000,82.4547,97.023
10000,1000,104.855,95.3701
12000,1000,126.663,94.7399
14000,1000,147.294,95.0482
16000,1000,167.515,95.5137
18000,1000,190.289,94.5931
20000,1000,211.801,94.4281
