npack,ne,GPU time (ms),GPU GFLOPS
1000,10,3.02394,0.0330695
2000,10,0.837137,0.23891
3000,10,0.750935,0.399502
4000,10,0.838018,0.477317
5000,10,1.0149,0.492661
6000,10,0.826303,0.726126
7000,10,0.805837,0.868662
8000,10,0.89348,0.895375
9000,10,0.898905,1.00122
10000,10,1.0061,0.993939
11000,10,0.935224,1.17619
12000,10,1.07548,1.11578
13000,10,1.14307,1.13729
14000,10,0.992324,1.41083
15000,10,1.09446,1.37053
16000,10,1.0328,1.54919
17000,10,1.11764,1.52106
18000,10,1.33676,1.34654
19000,10,1.27598,1.48905
20000,10,1.15587,1.7303
21000,10,1.62118,1.29535
22000,10,1.61958,1.35837
23000,10,1.36739,1.68204
24000,10,1.46443,1.63886
25000,10,1.57465,1.58766
26000,10,1.33066,1.95392
27000,10,1.77702,1.5194
28000,10,1.36261,2.05488
29000,10,1.57224,1.8445
30000,10,1.40148,2.1406
31000,10,1.67146,1.85467
32000,10,1.55703,2.05519
33000,10,1.62571,2.02988
34000,10,1.81447,1.87383
35000,10,1.37891,2.53824
36000,10,1.58487,2.27149
37000,10,1.60119,2.31078
38000,10,1.52188,2.49691
39000,10,1.65386,2.35812
40000,10,2.00719,1.99284
1000,50,0.791833,3.15723
2000,50,0.867442,5.76407
3000,50,1.20554,6.2213
4000,50,1.06935,9.35151
5000,50,1.58113,7.90576
6000,50,1.30766,11.4709
7000,50,1.5753,11.109
8000,50,1.9247,10.3912
9000,50,2.0739,10.8491
10000,50,1.88915,13.2335
11000,50,2.29406,11.9875
12000,50,1.99276,15.0545
13000,50,2.28131,14.2462
14000,50,2.36386,14.8063
15000,50,2.94107,12.7505
16000,50,2.4134,16.5741
17000,50,2.36594,17.9632
18000,50,2.57298,17.4894
19000,50,2.85422,16.642
20000,50,2.83175,17.6569
21000,50,4.1369,12.6907
22000,50,3.2993,16.6702
23000,50,3.46968,16.5721
24000,50,3.03572,19.7647
25000,50,3.23166,19.3399
26000,50,4.69229,13.8525
27000,50,3.65657,18.4599
28000,50,4.11983,16.991
29000,50,5.12985,14.133
30000,50,3.83938,19.5344
31000,50,4.11003,18.8563
32000,50,5.52809,14.4715
33000,50,5.75151,14.3441
34000,50,4.32109,19.6709
35000,50,5.73642,15.2534
36000,50,5.61578,16.0263
37000,50,4.78204,19.3432
38000,50,6.45896,14.7082
39000,50,5.14975,18.933
40000,50,5.03527,19.8599
1000,100,1.01436,9.85844
2000,100,1.29538,15.4395
3000,100,1.37601,21.8022
4000,100,2.30232,17.3738
5000,100,2.05847,24.2899
6000,100,2.15437,27.8504
7000,100,2.2411,31.2347
8000,100,2.50693,31.9116
9000,100,3.01737,29.8273
10000,100,3.08983,32.3642
11000,100,3.72201,29.5539
12000,100,3.87825,30.9418
13000,100,5.31225,24.4718
14000,100,4.29386,32.6047
15000,100,4.54786,32.9825
16000,100,5.67074,28.215
17000,100,4.91372,34.597
18000,100,6.50547,27.669
19000,100,6.7428,28.1782
20000,100,5.97403,33.4782
21000,100,6.0177,34.8971
22000,100,6.23141,35.305
23000,100,6.36162,36.1543
24000,100,6.32803,37.9265
